그룹,최상위 필드,중첩 필드,데이터 타입,모드,설명
,session_traffic_source_last_click,sa360_campaign.ad_group_name,STRING,NULLABLE,SA360 광고 그룹명.
,session_traffic_source_last_click,sa360_campaign.engine_account_name,STRING,NULLABLE,SA360 엔진 계정명.
,session_traffic_source_last_click,sa360_campaign.engine_account_type,STRING,NULLABLE,SA360 엔진 계정 유형.
,session_traffic_source_last_click,sa360_campaign.manager_account_name,STRING,NULLABLE,SA360 관리자 계정명.
,session_traffic_source_last_click,cm360_campaign.campaign_id,STRING,NULLABLE,Campaign Manager 360(CM360) 캠페인 ID. CM360 연동 시에만 값 존재.
,session_traffic_source_last_click,cm360_campaign.campaign_name,STRING,NULLABLE,CM360 캠페인명.
,session_traffic_source_last_click,cm360_campaign.source,STRING,NULLABLE,CM360 소스.
,session_traffic_source_last_click,cm360_campaign.medium,STRING,NULLABLE,CM360 매체.
,session_traffic_source_last_click,cm360_campaign.account_id,STRING,NULLABLE,CM360 계정 ID.
,session_traffic_source_last_click,cm360_campaign.account_name,STRING,NULLABLE,CM360 계정명.
,session_traffic_source_last_click,cm360_campaign.advertiser_id,STRING,NULLABLE,CM360 광고주 ID.
,session_traffic_source_last_click,cm360_campaign.advertiser_name,STRING,NULLABLE,CM360 광고주명.
,session_traffic_source_last_click,cm360_campaign.creative_id,STRING,NULLABLE,CM360 크리에이티브 ID.
,session_traffic_source_last_click,cm360_campaign.creative_format,STRING,NULLABLE,CM360 크리에이티브 형식.
,session_traffic_source_last_click,cm360_campaign.creative_name,STRING,NULLABLE,CM360 크리에이티브명.
,session_traffic_source_last_click,cm360_campaign.creative_type,STRING,NULLABLE,CM360 크리에이티브 유형.
,session_traffic_source_last_click,cm360_campaign.creative_type_id,STRING,NULLABLE,CM360 크리에이티브 유형 ID.
,session_traffic_source_last_click,cm360_campaign.creative_version,STRING,NULLABLE,CM360 크리에이티브 버전.
,session_traffic_source_last_click,cm360_campaign.placement_id,STRING,NULLABLE,CM360 게재위치 ID.
,session_traffic_source_last_click,cm360_campaign.placement_cost_structure,STRING,NULLABLE,CM360 게재위치 비용 구조.
,session_traffic_source_last_click,cm360_campaign.placement_name,STRING,NULLABLE,CM360 게재위치명.
,session_traffic_source_last_click,cm360_campaign.rendering_id,STRING,NULLABLE,CM360 렌더링 ID.
,session_traffic_source_last_click,cm360_campaign.site_id,STRING,NULLABLE,CM360 사이트 ID.
,session_traffic_source_last_click,cm360_campaign.site_name,STRING,NULLABLE,CM360 사이트명.
,session_traffic_source_last_click,dv360_campaign.campaign_id,STRING,NULLABLE,Display & Video 360(DV360) 캠페인 ID. DV360 연동 시에만 값 존재.
,session_traffic_source_last_click,dv360_campaign.campaign_name,STRING,NULLABLE,DV360 캠페인명.
,session_traffic_source_last_click,dv360_campaign.source,STRING,NULLABLE,DV360 소스.
,session_traffic_source_last_click,dv360_campaign.medium,STRING,NULLABLE,DV360 매체.
,session_traffic_source_last_click,dv360_campaign.advertiser_id,STRING,NULLABLE,DV360 광고주 ID.
,session_traffic_source_last_click,dv360_campaign.advertiser_name,STRING,NULLABLE,DV360 광고주명.
,session_traffic_source_last_click,dv360_campaign.creative_id,STRING,NULLABLE,DV360 크리에이티브 ID.
,session_traffic_source_last_click,dv360_campaign.creative_format,STRING,NULLABLE,DV360 크리에이티브 형식.
,session_traffic_source_last_click,dv360_campaign.creative_name,STRING,NULLABLE,DV360 크리에이티브명.
,session_traffic_source_last_click,dv360_campaign.exchange_id,STRING,NULLABLE,DV360 광고 거래소 ID.
,session_traffic_source_last_click,dv360_campaign.exchange_name,STRING,NULLABLE,DV360 광고 거래소명.
,session_traffic_source_last_click,dv360_campaign.insertion_order_id,STRING,NULLABLE,DV360 삽입 주문 ID.
,session_traffic_source_last_click,dv360_campaign.insertion_order_name,STRING,NULLABLE,DV360 삽입 주문명.
,session_traffic_source_last_click,dv360_campaign.line_item_id,STRING,NULLABLE,DV360 라인 아이템 ID.
,session_traffic_source_last_click,dv360_campaign.line_item_name,STRING,NULLABLE,DV360 라인 아이템명.
,session_traffic_source_last_click,dv360_campaign.partner_id,STRING,NULLABLE,DV360 파트너 ID.
,session_traffic_source_last_click,dv360_campaign.partner_name,STRING,NULLABLE,DV360 파트너명.
,session_traffic_source_last_click,publisher.ad_revenue_in_usd,FLOAT,NULLABLE,퍼블리셔 광고 수익 (USD). AdMob 등 광고 수익 모델 앱에서 사용.
,session_traffic_source_last_click,publisher.ad_format,STRING,NULLABLE,퍼블리셔 광고 형식.
,session_traffic_source_last_click,publisher.ad_source_name,STRING,NULLABLE,퍼블리셔 광고 소스명.
,session_traffic_source_last_click,publisher.ad_unit_id,STRING,NULLABLE,퍼블리셔 광고 유닛 ID.
,event_original_occurrence_timestamp,,INTEGER,NULLABLE,이벤트가 기기에서 실제 발생한 원본 시각. UTC 마이크로초. 오프라인 이벤트 재전송 시 원래 발생 시각 보존.
,stream_id,,STRING,NULLABLE,이벤트가 수집된 GA4 데이터 스트림의 고유 ID.
,platform,,STRING,NULLABLE,이벤트가 발생한 플랫폼. 값: 'WEB' / 'ANDROID' / 'IOS'
