보고서,영역,섹션,필드값,대응_지표#,GOLD_매핑,매핑근거,매핑교정,종전_매핑,앵커_팩트,앵커_경합,앵커_강제,조립가능도,판정_근거(실측)
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",연 목표,공3,SV metric — 분자: DEV_CNT(YR) / 분모: GOAL_CNT(YR),지표사전~,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",연 목표 달성율,공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",예산구분,(215밖),DIM_BUDGET_ITEM.BUDGET_CATEGORY,필드인벤토리,,,FACT_DEV_ACHIEVEMENT,,,도달불가,`FACT_DEV_ACHIEVEMENT` 에 `DIM_BUDGET_ITEM` 로 가는 FK 가 없다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,매체명(브랜드2),,"⛔ 불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재",⛔불가(등록부),,,FACT_BUDGET,,,원천부재,"불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재"
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,기준일시,,⛔ 불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재,⛔불가(등록부),,,FACT_BUDGET,,,원천부재,불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,세세목명,(215밖),DIM_BUDGET_ITEM.BUDGET_ITEM_NAME,필드인벤토리,,,FACT_BUDGET,,,조립가능,`FACT_BUDGET` → `DIM_BUDGET_ITEM` FK 생존(비영 존재)
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,월 편성예산,(215밖),FACT_BUDGET.PLAN_BUDGET_MONTH,필드인벤토리(어순),,,FACT_BUDGET,,,조립가능,앵커 팩트 `FACT_BUDGET` 자체의 컬럼
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,(누계)편성예산,(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_BUDGET,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,월 집행예산(ERP 마감값),(215밖),FACT_BUDGET.EXEC_BUDGET_ERP,필드인벤토리·별칭등록부,,,FACT_BUDGET,,,조립가능,앵커 팩트 `FACT_BUDGET` 자체의 컬럼
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,(누계)집행예산(ERP 마감값),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_BUDGET,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,연 편성예산,(215밖),FACT_BUDGET.PLAN_BUDGET_YEAR,필드인벤토리(어순),,,FACT_BUDGET,,,조립가능,앵커 팩트 `FACT_BUDGET` 자체의 컬럼
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,연 편성 집행율,(overview),"SV metric — 집행율(%) = 집행예산/편성예산 (FBD, P7)",SV파생,,,FACT_BUDGET,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,월 편성 집행율,(overview),"SV metric — 집행율(%) = 집행예산/편성예산 (FBD, P7)",SV파생,,,FACT_BUDGET,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,월 집행예산(추정치),(215밖),FACT_BUDGET.EXEC_BUDGET_EST,필드인벤토리·별칭등록부,,,FACT_BUDGET,,,값없음,"`FACT_BUDGET.EXEC_BUDGET_EST` 전건 NULL (1,332행)"
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,(누계)집행예산(추정치),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_BUDGET,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,2. 집행예산 및 개발효율,예산구분,(215밖),DIM_BUDGET_ITEM.BUDGET_CATEGORY,필드인벤토리,,,FACT_BUDGET,,,조립가능,`FACT_BUDGET` → `DIM_BUDGET_ITEM` FK 생존(비영 존재)
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,매체명(브랜드2),,"⛔ 불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재",⛔불가(등록부),,,FACT_AD_PERFORMANCE,,,원천부재,"불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,기준일시,,⛔ 불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재,⛔불가(등록부),,,FACT_AD_PERFORMANCE,,,원천부재,불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,요일,(215밖),DIM_DATE.DAY_OF_WEEK,필드인벤토리,,,FACT_AD_PERFORMANCE,,,조립가능,"앵커 팩트 `FACT_AD_PERFORMANCE` 가 **동명 degenerate 컬럼 `DAY_OF_WEEK` 을 직접 보유**한다 (실측 채움 255,452/255,452) — `DIM_DATE` 를 경유할 필요가 없다. 매핑을 앵커 로컬로 교정할 것(O47·P96-②)"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,주차,(215밖),DIM_DATE.WEEK_OF_YEAR,필드인벤토리,,,FACT_AD_PERFORMANCE,,,조립가능,"앵커 팩트 `FACT_AD_PERFORMANCE` 가 **동명 degenerate 컬럼 `WEEK_OF_YEAR` 을 직접 보유**한다 (실측 채움 255,452/255,452) — `DIM_DATE` 를 경유할 필요가 없다. 매핑을 앵커 로컬로 교정할 것(O47·P96-②)"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,광고시작시간,(215밖),FACT_AD_BROADCAST.AD_START_TIME,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,조립가능,"위성 `FACT_AD_BROADCAST` 는 `AD_PERF_DK` **PK = 코어와 1:1**(실측 38,486 전건 유일 · 조인 후 38,486행 = 폭발 0) → 코어와 같은 표에 둘 수 있다(DEC-13). 위성에 `*_DATE_SK` 가 없는 것은 시간축 부재가 아니라 **코어가 시간축을 소유**하기 때문이다"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,법인명,공114,DIM_ORG.CORP,필드인벤토리·별칭등록부,,,FACT_AD_PERFORMANCE,,,값없음,"`DIM_ORG.CORP` 전건 NULL (1,315행)"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,광고유형,(215밖),DIM_AD_CREATIVE.AD_TYPE,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_AD_CREATIVE` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` **243,545/243,545 전건 센티넬**. `DIM_AD_CREATIVE` 는 8,716행·`MEDIA_NAME` 106종이 실재하지만 **팩트에서 도달할 수 없다** — 소재 연결키가 대행사 원천에 없다(Q10)."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,매체유형명,,(미매칭 — GOLD 물리·SV 대응 미확인),(미매칭),,,FACT_AD_PERFORMANCE,,,판정불가,GOLD 매핑이 물리 컬럼 형태가 아니다(미정·비고 등)
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,국내/해외명,공15,DIM_CAMPAIGN.DOMESTIC_OVERSEAS,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_CAMPAIGN` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: AGENCY 원천 3종에 **캠페인 코드 컬럼 0개** — 이름만 있다(`CMPGN_NM`·`UPPER_CMPGN_NM`·`MKT_CMPGN_NM`). 🟢 단 `SILVER.AGENCY_AD_PERFORMANCE.CAMPAIGN_NM`(240,291/243,545 채움 · 110종)이 `DIM_CAMPAIGN.MARKETING_CAMPAIGN`(322종) 축에 **218,402행 = 89.7% 도달**한다 → **마케팅캠페인 grain 이면 조립 가능**(§4 참조). 개발캠페인 grain 으로 내리면 181.6배 폭발."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,사업/사례명,공16,DIM_CAMPAIGN.BIZ_CASE_TYPE,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_CAMPAIGN` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: AGENCY 원천 3종에 **캠페인 코드 컬럼 0개** — 이름만 있다(`CMPGN_NM`·`UPPER_CMPGN_NM`·`MKT_CMPGN_NM`). 🟢 단 `SILVER.AGENCY_AD_PERFORMANCE.CAMPAIGN_NM`(240,291/243,545 채움 · 110종)이 `DIM_CAMPAIGN.MARKETING_CAMPAIGN`(322종) 축에 **218,402행 = 89.7% 도달**한다 → **마케팅캠페인 grain 이면 조립 가능**(§4 참조). 개발캠페인 grain 으로 내리면 181.6배 폭발."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,캠페인 유형명,공17,DIM_CAMPAIGN.CAMPAIGN_TYPE,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_CAMPAIGN` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: AGENCY 원천 3종에 **캠페인 코드 컬럼 0개** — 이름만 있다(`CMPGN_NM`·`UPPER_CMPGN_NM`·`MKT_CMPGN_NM`). 🟢 단 `SILVER.AGENCY_AD_PERFORMANCE.CAMPAIGN_NM`(240,291/243,545 채움 · 110종)이 `DIM_CAMPAIGN.MARKETING_CAMPAIGN`(322종) 축에 **218,402행 = 89.7% 도달**한다 → **마케팅캠페인 grain 이면 조립 가능**(§4 참조). 개발캠페인 grain 으로 내리면 181.6배 폭발."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,캠페인명,,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,FACT_AD_PERFORMANCE,,,도달불가,[매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` ▸ `FACT_AD_PERFORMANCE` 에 `DIM_MEMBER_ACQUISITION` 로 가는 FK 가 없다
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,소재,공20,DIM_AD_CREATIVE.CREATIVE,필드인벤토리,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_AD_CREATIVE` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` **243,545/243,545 전건 센티넬**. `DIM_AD_CREATIVE` 는 8,716행·`MEDIA_NAME` 106종이 실재하지만 **팩트에서 도달할 수 없다** — 소재 연결키가 대행사 원천에 없다(Q10)."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,CM위치,공21,DIM_AD_CREATIVE.CM_POSITION,필드인벤토리,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_AD_CREATIVE` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` **243,545/243,545 전건 센티넬**. `DIM_AD_CREATIVE` 는 8,716행·`MEDIA_NAME` 106종이 실재하지만 **팩트에서 도달할 수 없다** — 소재 연결키가 대행사 원천에 없다(Q10)."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,초수,공22,DIM_AD_CREATIVE,지표사전,,,FACT_AD_PERFORMANCE,,,도달불가,"`FACT_AD_PERFORMANCE` → `DIM_AD_CREATIVE` FK **전건 센티넬** — 조인해도 `(미매핑)` 한 덩어리가 된다 ▸ BRONZE 근거: `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` **243,545/243,545 전건 센티넬**. `DIM_AD_CREATIVE` 는 8,716행·`MEDIA_NAME` 106종이 실재하지만 **팩트에서 도달할 수 없다** — 소재 연결키가 대행사 원천에 없다(Q10)."
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,광고비,(215밖),FACT_BUDGET.AD_COST,필드인벤토리,,,FACT_AD_PERFORMANCE,,,값없음,"`FACT_BUDGET.AD_COST` 전건 NULL (1,332행)"
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,노출수(횟수),공23,FACT_AD_PERFORMANCE.IMPRESSIONS,필드인벤토리~,,,FACT_AD_PERFORMANCE,,,조립가능,앵커 팩트 `FACT_AD_PERFORMANCE` 자체의 컬럼
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,클릭수,공24 공9,FACT_AD_PERFORMANCE.CLICKS,필드인벤토리,,,FACT_AD_PERFORMANCE,,,조립가능,앵커 팩트 `FACT_AD_PERFORMANCE` 자체의 컬럼
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,GA 전환수(명),(215밖),FACT_AD_PERFORMANCE.GA_CONV_MEMBERS,필드인벤토리,,,FACT_AD_PERFORMANCE,,,조립가능,앵커 팩트 `FACT_AD_PERFORMANCE` 자체의 컬럼
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,GA 전환수(건),(215밖),FACT_AD_PERFORMANCE.GA_CONV_MEMBERS,필드인벤토리(단위),,,FACT_AD_PERFORMANCE,,,조립가능,앵커 팩트 `FACT_AD_PERFORMANCE` 자체의 컬럼
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,인입콜,공25,FACT_AD_PERFORMANCE.INBOUND_CALL,필드인벤토리,,,FACT_AD_PERFORMANCE,,,조립가능,앵커 팩트 `FACT_AD_PERFORMANCE` 자체의 컬럼
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,잠재고객 이름(=타겟그룹),,(미매칭 — GOLD 물리·SV 대응 미확인),(미매칭),,,FACT_AD_PERFORMANCE,,,판정불가,GOLD 매핑이 물리 컬럼 형태가 아니다(미정·비고 등)
마케팅,마케팅 보고서,3. 매체별 개발효율 상세,member_id(=회원번호),,DIM_MEMBER.MEMBER_DK,교정등록부(WRONG_DIM),WRONG_DIM,DIM_MEMBER.MEMBER_DK,FACT_AD_PERFORMANCE,,,도달불가,[매핑교정 WRONG_DIM] 위와 동일. 단 앵커가 `FACT_AD_PERFORMANCE` 인 경우 **광고 팩트에는 회원 축이 아예 없다** — 회원 귀속은 GA4 전기간 입고(G-5) + 광고 연결키(Q10) 이후에만 가능하다. ▸ 종전 매핑 `DIM_MEMBER.MEMBER_DK` → 교정 `DIM_MEMBER.MEMBER_DK` ▸ `FACT_AD_PERFORMANCE` 에 `DIM_MEMBER` 로 가는 FK 가 없다
마케팅,마케팅 보고서,4. 전환회원 특성,매체명(브랜드2),,"⛔ 불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재",⛔불가(등록부),,,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,원천부재,"🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ 불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재"
마케팅,마케팅 보고서,4. 전환회원 특성,기준일시,,⛔ 불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재,⛔불가(등록부),,,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,원천부재,🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ 불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재
마케팅,마케팅 보고서,4. 전환회원 특성,브랜드,,DIM_MEMBER_ACQUISITION.ACQ_BRAND,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_BRAND,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,조립가능,🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ [매핑교정 OPENED_O45] [O45] `FMM.CAMPAIGN_SK` 는 O8(다중귀속 규칙 미확정)로 전건 센티넬이다. **「획득 시점」 명시 규칙**으로 회원 1행에 캠페인을 확정해 우회했다(팬아웃 0 실측). ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_BRAND` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_BRAND` ▸ `FACT_MEMBER_EVENT` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
마케팅,마케팅 보고서,4. 전환회원 특성,상위캠페인,,DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,조립가능,🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ [매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME` ▸ `FACT_MEMBER_EVENT` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
마케팅,마케팅 보고서,4. 전환회원 특성,캠페인명,,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,조립가능,🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ [매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` ▸ `FACT_MEMBER_EVENT` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
마케팅,마케팅 보고서,4. 전환회원 특성,개발구분,공121,FACT_MEMBER_MONTHLY.DEV_TYPE,필드인벤토리,,,FACT_MEMBER_EVENT,,FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT,값없음,"🔁 **앵커 강제 교체**(FACT_MEMBER_MONTHLY → FACT_MEMBER_EVENT) — [O136 착수표 ⑰] 전환회원 특성 섹션은 개발구분 5종 및 전환 사건 시점의 속성을 분석하므로 회원×월 요약(`FACT_MEMBER_MONTHLY`)이 아닌 사건 팩트 `FACT_MEMBER_EVENT` 가 정본 앵커다. ▸ `FACT_MEMBER_MONTHLY.DEV_TYPE` 전건 NULL (40,054,883행)"
