테이블명,테이블 한글명,GRAIN,테이블유형,컬럼명,컬럼 한글명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,BUDGET_ITEM_SK,예산 세세목 대리키,"NUMBER(38,0)",N,PK,,"예산 세세목 대리키 (ETL 일련번호, PK)",
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,BUDGET_ITEM_NAME,세세목명,VARCHAR,Y,,,세세목명,
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,BUDGET_CATEGORY,예산구분,VARCHAR,Y,,,예산구분,
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목 차원,1예산 세세목 (BUDGET_ITEM_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CAMPAIGN_SK,캠페인 대리키,"NUMBER(38,0)",N,PK,,"캠페인 대리키 (ETL 일련번호, PK)",
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CAMPAIGN_BK,"캠페인 업무키(BK, 자연키)",VARCHAR,N,BK,,"캠페인 업무키(BK, 자연키)",
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,BRAND,공통브랜드,VARCHAR,Y,,,공통브랜드(#117),
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,PARENT_CAMPAIGN,상위캠페인 코드,VARCHAR,Y,,,상위캠페인 코드 (#119).,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CAMPAIGN_NAME,캠페인명,VARCHAR,Y,,,캠페인명(#18·120·147),
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,PROMO_METHOD,홍보방법 원천코드,VARCHAR,Y,,,홍보방법 원천코드 (#118). 코드id:CM008.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CAMPAIGN_TYPE,캠페인 유형,VARCHAR,Y,,,CAMPAIGN_TYPE (#17). 코드id:MM294.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,DOMESTIC_OVERSEAS,국내/해외 구분,VARCHAR,Y,,,DOMESTIC_OVERSEAS (#15). 코드id:MM295.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,BIZ_CASE_TYPE,사업/사례 구분,VARCHAR,Y,,,BIZ_CASE_TYPE (#16). 코드id:MM296.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,INFLOW_PATH,유입경로,VARCHAR,Y,,,INFLOW_PATH. 코드id:MM293.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MARKETING_CAMPAIGN,마케팅캠페인,VARCHAR,Y,,,MARKETING_CAMPAIGN.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CAMPAIGN_OPEN_DATE,오픈일자,DATE,Y,,,오픈일자(#19),
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,ORG_SK,캠페인 귀속조직,"NUMBER(38,0)",Y,FK,DIM_ORG.ORG_SK,캠페인 귀속조직,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,PARENT_CAMPAIGN_NAME,상위캠페인명,VARCHAR,Y,,,상위캠페인명. 코드id:MM294.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,PROMO_METHOD_NAME,홍보방법명,VARCHAR,Y,,,홍보방법명. 코드id:CM008.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MKTG_CAMPAIGN_SK,대리키,"NUMBER(38,0)",Y,FK,DIM_MARKETING_CAMPAIGN.MKTG_CAMPAIGN_SK,대리키 (PK),
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,SPNSR_DIV_CD,후원구분코드,VARCHAR,Y,,,후원구분 원천코드(CM035): 1=정기후원 · 2=일시후원. 코드id:CM035.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,SPNSR_DIV_NM,후원구분명,VARCHAR,Y,,,후원구분명. 코드id:CM035.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CPR_DIV_CD,법인구분코드,VARCHAR,Y,,,CPR_DIV_CD. 코드id:CM019.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CPR_DIV_NM,법인구분명,VARCHAR,Y,,,법인구분명. 코드id:CM019.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CMMN_BRND,공통브랜드,VARCHAR,Y,,,"공통브랜드 원천코드(MM297, 14종). 코드id:MM297.",
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,CMMN_BRND_NM,공통브랜드명,VARCHAR,Y,,,공통브랜드명. 코드id:MM297.,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MKTG_UTM,마케팅 UTM,"NUMBER(38,0)",Y,,,마케팅 UTM 원천코드 (TC_MKTNG_DTL_CD U001 대응).,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MKTG_UTM_NM,마케팅 UTM 라벨 (TC_MKTNG_DTL_CD U001 라벨),VARCHAR,Y,,,마케팅 UTM 라벨 (TC_MKTNG_DTL_CD U001 라벨).,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MKTG_CHANNEL,마케팅 채널 원천코드 (TC_MKTNG_DTL_CD C002 대응),"NUMBER(38,0)",Y,,,마케팅 채널 원천코드 (TC_MKTNG_DTL_CD C002 대응).,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,MKTG_CHANNEL_NM,마케팅 채널명 (TC_MKTNG_DTL_CD C002 라벨),VARCHAR,Y,,,마케팅 채널명 (TC_MKTNG_DTL_CD C002 라벨).,
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_CAMPAIGN,캠페인 차원,1캠페인 (CAMPAIGN_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DATE_SK,YYYYMMDD,"NUMBER(8,0)",N,PK,,YYYYMMDD,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,FULL_DATE,실제 일자,DATE,Y,,,실제 일자,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,YEAR,년,"NUMBER(4,0)",Y,,,년,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,MONTH,월,"NUMBER(2,0)",Y,,,월,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,MONTH_KEY,YYYYMM (월팩트 conform),"NUMBER(6,0)",Y,,,YYYYMM (월팩트 conform),
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DAY,일,"NUMBER(2,0)",Y,,,일,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DAY_OF_WEEK,요일,VARCHAR,Y,,,요일,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,WEEK_OF_YEAR,주차,"NUMBER(2,0)",Y,,,주차,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,QUARTER,분기,"NUMBER(1,0)",Y,,,분기,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,IS_HOLIDAY,휴일여부,BOOLEAN,Y,,,휴일여부,
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_DATE,날짜 차원,1일 (DATE_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DEVICE_SK,대리키,"NUMBER(38,0)",N,PK,,대리키 (PK),
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DEVICE_TYPE,기기 유형,VARCHAR,Y,,,DEVICE_TYPE.,
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DEVICE_SCOPE_DESC,멤버 의미 자기설명,VARCHAR,Y,,,멤버 의미 자기설명(DEC.,
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_DEVICE,디바이스 차원,1디바이스 (DEVICE_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_SK,행사 대리키,"NUMBER(38,0)",N,PK,,"행사 대리키 (ETL 일련번호, PK)",
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_BK,"행사 업무키(BK, 자연키)",VARCHAR,N,BK,,"행사 업무키(BK, 자연키)",
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_KIND,행사 종류,VARCHAR,Y,,,EVENT_KIND.,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_KIND_NAME,행사종류명(라벨),VARCHAR,Y,,,행사종류명(라벨). EVENT→일반행사·CRMN→캠페인행사.,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_CATEGORY,이벤트 카테고리,VARCHAR,Y,,,행사구분,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_NAME,행사명/이벤트명,VARCHAR,Y,,,행사명,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_START_DATE,행사 시작일,DATE,Y,,,행사기간 시작(05 3-6),
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_END_DATE,행사 종료일,DATE,Y,,,행사기간 종료(05 3-6),
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,APPLY_CHANNEL,신청경로,VARCHAR,Y,,,신청경로,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,RECRUIT_HEADCOUNT,RECRUIT_HEADCOUNT,"NUMBER(38,0)",Y,,,[DEC.,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_CATEGORY_GROUP,행사 카테고리 그룹,VARCHAR,Y,,,EVENT_CATEGORY_GROUP. 코드id:MS286.,
DIM_EVENT,행사/이벤트 차원,1행사 (EVENT_SK),DIMENSION,EVENT_CATEGORY_NAME,행사 카테고리명,VARCHAR,Y,,,EVENT_CATEGORY_NAME.,
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,MKTG_CAMPAIGN_SK,대리키,"NUMBER(38,0)",N,PK,,대리키 (PK),
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,MKTG_CAMPAIGN_BK,MKTG_CAMPAIGN_BK,VARCHAR,Y,BK,,MKTG_CAMPAIGN_BK.,
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,MKTG_CAMPAIGN_NAME,마케팅캠페인명,VARCHAR,Y,,,마케팅캠페인명.,
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,USE_YN,사용여부 Y/N,VARCHAR,Y,,,"사용여부 Y/N. 고유값:Y,N",
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,DEV_CAMPAIGN_CNT,DEV_CAMPAIGN_CNT,"NUMBER(38,0)",Y,,,DEV_CAMPAIGN_CNT.,
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,마케팅캠페인 차원,1마케팅캠페인 (MARKETING_CAMPAIGN_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_SK,대리키,"NUMBER(38,0)",N,,,대리키 (PK),
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_DK,불변 비즈니스 식별자,VARCHAR,N,PK,,불변 비즈니스 식별자,"SCD2 다중버전 — FK 대상 불가, 현재행 경유 조인; [실측06-30]VARCHAR(10): 일시 비숫자·정기 leading-zero→NUMBER 금지·충돌0 접두불요"
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_TYPE,회원 **등록계통** 구분,VARCHAR,Y,,,회원 **등록계통** 구분. 코드id:MM010.,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,SEX,성별 원천코드 raw,VARCHAR,Y,,,성별 원천코드 raw. 코드id:CM013,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,SEX_NM,성별 원천 라벨,VARCHAR,Y,,,성별 원천 라벨. 코드id:CM013,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,GENDER_NAME,성별,VARCHAR,Y,,,"성별 (#130). 고유값:남자,여자,기타,단체,기업",
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MBER_STAT_CD,회원상태 원천코드 raw,VARCHAR,Y,,,회원상태 원천코드 raw (#132). 코드id:MM010,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_STATUS_NAME,회원상태명 (라벨),VARCHAR,Y,,,회원상태명 (라벨). 코드id:MM010,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_STATUS_GROUP,MEMBER_STATUS_GROUP,VARCHAR,Y,,,MEMBER_STATUS_GROUP. 코드id:MM010.,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MBER_DIV_CD,회원구분 원천코드 raw,VARCHAR,Y,,,회원구분 원천코드 raw. 코드id:MM018,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,MEMBER_TYPE_NAME,회원구분명 (라벨),VARCHAR,Y,,,"회원구분명 (라벨). 고유값:개인,기업,단체",
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,JOIN_PATH_CD,가입경로코드,VARCHAR,Y,,,가입경로코드. 코드id:MM014,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,ENROLL_PATH_NAME,ENROLL_PATH_NAME,VARCHAR,Y,,,ENROLL_PATH_NAME. 코드id:MM014. [사유:원천 부재],
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,FIRST_JOIN_DATE,최초가입일 = 회원번호 생성일(정본 공),DATE,Y,,,최초가입일 = 회원번호 생성일(정본 공#28) (#28).,
DIM_MEMBER,회원 차원,"회원 × 상태버전 (SCD2, MEMBER_SK)",DIMENSION,FIRST_CAMPAIGN,최초캠페인(정본 공),VARCHAR,Y,,,최초캠페인(정본 공#29) (#29).,
