테이블명,GRAIN,테이블유형,컬럼명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_CAMPAIGN,1캠페인,DIMENSION,PROMO_METHOD,VARCHAR,Y,,,"홍보방법 원천코드(#118, 원천 PR_MTH_CD · 코드사전 CM008). 🔴 라벨이 아니라 숫자 코드다 — 사람·Agent 가 읽는 이름은 PROMO_METHOD_NAME 을 쓴다(O37 신설)",
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_TYPE,VARCHAR,Y,,,"캠페인 유형(#17) = 캠페인 카테고리 라벨(SILVER MM294, 56종). 예: 국내사례캠페인·굿즈캠페인·해외캠페인. ⚠️숫자코드 아님(2026-07-16 라벨화)",
DIM_CAMPAIGN,1캠페인,DIMENSION,DOMESTIC_OVERSEAS,VARCHAR,Y,,,국내/해외(#15) = SILVER CMPGN_TYPE1_NM(MM295): 국내 / 통합 / 해외. (종전 전건 NULL — 2026-07-16 BRONZE 재입고로 채움),
DIM_CAMPAIGN,1캠페인,DIMENSION,BIZ_CASE_TYPE,VARCHAR,Y,,,사업/사례(#16) = SILVER CMPGN_TYPE2_NM(MM296): 굿즈 / 기타 / 사례 / 사업. ⚠️종전 모델이 유형1(국내/해외)을 여기 매핑한 의미혼입을 2026-07-16 교정,
DIM_CAMPAIGN,1캠페인,DIMENSION,INFLOW_PATH,VARCHAR,Y,,,개발인입경로 라벨(SILVER MM293). 예: 디지털·방송·영상광고·지역개발·마케팅콜개발·대면모금·직원개발. 🔴 이 축은 **모집 채널**이다 — 2026-07-16 신설 시 「현업 주요캠페인 분류축」이라 적었던 표기는 거짓이므로 회수한다(O37). 캠페인 카테고리 = CAMPAIGN_TYPE(MM294) · 상위캠페인 = PARENT_CAMPAIGN_NAME,
DIM_CAMPAIGN,1캠페인,DIMENSION,MARKETING_CAMPAIGN,VARCHAR,Y,,,마케팅캠페인명(SILVER MK_CMPGN_NM). Q16 해소(2026-07-16 신설),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_OPEN_DATE,DATE,Y,,,오픈일자(#19),
DIM_CAMPAIGN,1캠페인,DIMENSION,ORG_SK,"NUMBER(38,0)",Y,FK,DIM_ORG.ORG_SK,캠페인 귀속조직,
DIM_CAMPAIGN,1캠페인,DIMENSION,PARENT_CAMPAIGN_NAME,VARCHAR,Y,,,"상위캠페인명 — 코드 PARENT_CAMPAIGN(자기참조 CAMPAIGN_BK)을 DIM_CAMPAIGN 자기조인으로 해소한 라벨. 현업 ""주요캠페인"" 계열 축. ⚠️ 상위가 없는 캠페인은 NULL 이며 '(미매핑)'으로 창작하지 않는다(P21). ⚠️ 캠페인 카테고리 축과 다르다 — 카테고리는 CAMPAIGN_TYPE(MM294)이다",
DIM_CAMPAIGN,1캠페인,DIMENSION,PROMO_METHOD_NAME,VARCHAR,Y,,,홍보방법명 — 코드 PROMO_METHOD(원천 PR_MTH_CD)를 코드사전 CM008 로 해소한 라벨. 실제값 계열: PC배너광고(DA)·M배너광고(DA)·PC검색광고(SA)·M검색광고(SA)·TM·TS·PC캠페인-홈페이지·M캠페인-홈페이지·온라인·오프라인·APP캠페인·기존회원메일·기타 등. ⚠️ 원천 PR_MTH_CD 가 없는 캠페인은 NULL 이며 '(미매핑)'으로 창작하지 않는다(P21). ⚠️ USE_YN 무필터 조인,
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_CAMPAIGN,1캠페인,DIMENSION,MKTG_CAMPAIGN_SK,"NUMBER(38,0)",Y,FK,DIM_MARKETING_CAMPAIGN.MKTG_CAMPAIGN_SK,[O45] 마케팅캠페인 대리키 (FK→DIM_MARKETING_CAMPAIGN). 광고(AGENCY)와 개발실적(CRM)을 잇는 conformed 축. 0=미매핑. 🔴개발캠페인 grain 으로 광고비를 내리면 대규모 팬아웃이 발생한다(팬아웃 배수·마케팅캠페인당 개발캠페인 분포·광고 도달 범위는 문서10 §26) — 결합은 마케팅캠페인 grain 에서만 할 것,
DIM_DATE,1일,DIMENSION,DATE_SK,"NUMBER(8,0)",N,PK,,YYYYMMDD,
DIM_DATE,1일,DIMENSION,FULL_DATE,DATE,Y,,,실제 일자,
DIM_DATE,1일,DIMENSION,YEAR,"NUMBER(4,0)",Y,,,년,
DIM_DATE,1일,DIMENSION,MONTH,"NUMBER(2,0)",Y,,,월,
DIM_DATE,1일,DIMENSION,MONTH_KEY,"NUMBER(6,0)",Y,,,YYYYMM (월팩트 conform),
DIM_DATE,1일,DIMENSION,DAY,"NUMBER(2,0)",Y,,,일,
DIM_DATE,1일,DIMENSION,DAY_OF_WEEK,VARCHAR,Y,,,요일,
DIM_DATE,1일,DIMENSION,WEEK_OF_YEAR,"NUMBER(2,0)",Y,,,주차,
DIM_DATE,1일,DIMENSION,QUARTER,"NUMBER(1,0)",Y,,,분기,
DIM_DATE,1일,DIMENSION,IS_HOLIDAY,BOOLEAN,Y,,,휴일여부,
DIM_DATE,1일,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_DATE,1일,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_DATE,1일,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_DATE,1일,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_DEVICE,1디바이스,DIMENSION,DEVICE_SK,"NUMBER(38,0)",N,PK,,"디바이스 대리키 (해시 SK, PK). 단 (unknown)=0 센티넬 · -1 미사용",
DIM_DEVICE,1디바이스,DIMENSION,DEVICE_TYPE,VARCHAR,Y,,,"PC / M / APP / (해당없음) / (unknown). (해당없음)=방송광고(기기개념 부재, DEC-10) · APP=GA4 platform=WEB 단일로 현 데이터 미생성(G-5)",
DIM_DEVICE,1디바이스,DIMENSION,DEVICE_SCOPE_DESC,VARCHAR,Y,,,멤버 의미 자기설명(DEC-10). 팩트 조인·문서 참조 없이 차원만 조회해도 (해당없음)의 뜻을 알 수 있게 하는 장치,
DIM_DEVICE,1디바이스,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_DEVICE,1디바이스,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_DEVICE,1디바이스,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_DEVICE,1디바이스,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_SK,"NUMBER(38,0)",N,PK,,"행사 대리키 (ETL 일련번호, PK)",
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_BK,VARCHAR,N,BK,,"행사 업무키(BK, 자연키)",
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_KIND,VARCHAR,Y,,,행사종류 코드 raw(EVENT/CRMN). 라벨=EVENT_KIND_NAME,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_KIND_NAME,VARCHAR,Y,,,행사종류명(라벨). EVENT→일반행사·CRMN→캠페인행사,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_CATEGORY,VARCHAR,Y,,,행사구분,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_NAME,VARCHAR,Y,,,행사명,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_START_DATE,DATE,Y,,,행사기간 시작(05 3-6),
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_END_DATE,DATE,Y,,,행사기간 종료(05 3-6),
DIM_EVENT,1행사/이벤트,DIMENSION,APPLY_CHANNEL,VARCHAR,Y,,,신청경로,
DIM_EVENT,1행사/이벤트,DIMENSION,RECRUIT_HEADCOUNT,"NUMBER(38,0)",Y,,,[DEC-30] 모집인원 ← CRM_EVENT.RCRIT_PSNNL_CO. 채움 규모·종수는 문서10 §26. 🔴행사 속성이므로 참여 팩트가 아니라 행사 차원이 정본 — 참여행 반복 시 SUM 이 대규모 과대계상된다(배수·행사 참값은 문서10 §26). 행사 단위로만 합산,
DIM_EVENT,1행사/이벤트,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_EVENT,1행사/이벤트,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_EVENT,1행사/이벤트,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_EVENT,1행사/이벤트,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_CATEGORY_GROUP,VARCHAR,Y,,,행사구분 코드군 ID (조인키 · EVENT_KIND=일반행사→MS286 · 캠페인행사→MS002). 🔴원천별로 코드체계가 완전히 다르다(겹침 없음) — EVENT_CATEGORY 를 단독 필터·GROUP BY 하면 두 체계가 섞인다. 이 컬럼 또는 EVENT_KIND 를 동반할 것,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_CATEGORY_NAME,VARCHAR,Y,,,행사구분 라벨 (코드사전 CRM_CODE 조인 산물 · 등급 B 배타 확정). 사전 미등재 코드는 NULL 유지(라벨 창작 금지 · DEC-17-B),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,GA_EVENT_SK,"NUMBER(38,0)",N,PK,,"GA 이벤트 대리키 (ETL 일련번호, PK)",
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_CATEGORY,VARCHAR,Y,,,이벤트 카테고리(#99),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_LABEL,VARCHAR,Y,,,이벤트 라벨(#100),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_ACTION,VARCHAR,Y,,,이벤트 액션(#101),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,GA_SOURCE_SK,"NUMBER(38,0)",N,PK,,"GA 트래픽소스 대리키 (ETL 일련번호, PK)",
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_SOURCE,VARCHAR,Y,,,source,
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_MEDIUM,VARCHAR,Y,,,medium,
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_CONTENT,VARCHAR,Y,,,세션 수동 광고 콘텐츠(#103),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_TERM,VARCHAR,Y,,,세션 수동 검색어(#104),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,SOURCE_MEDIUM,VARCHAR,Y,,,세션 소스/매체(#109),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DEFAULT_CHANNEL_GROUP,VARCHAR,Y,,,[DEC-30] GA4 표준 채널그룹 ← GA4_TRAFFIC_SOURCE.DEFAULT_CHANNEL_GROUP. 전건 채움 · grain 에 대한 함수종속률과 다중 사례는 문서10 §26 이라 MAX() 대표값. ⚠️SOURCE_MEDIUM(파생 문자열)과 다른 개념 — GA4 가 산정한 표준 분류다,
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,MKTG_CAMPAIGN_SK,"NUMBER(38,0)",N,PK,,대리키 = gold_sk(MK_CMPGN_CD). 0 = (미매핑) Unknown 멤버,
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,MKTG_CAMPAIGN_BK,VARCHAR,Y,BK,,업무키 = 원천 MK_CMPGN_CD (SILVER.CRM_MARKETING_CAMPAIGN),
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,MKTG_CAMPAIGN_NAME,VARCHAR,Y,,,마케팅캠페인명. 🔴광고측(AGENCY CAMPAIGN_NM)과의 **조인 키**다 — 이름매칭이 유일 경로다(AGENCY 원천 3종에 캠페인 코드 컬럼이 없다). 광고 도달·미도달 커버리지는 문서10 §26 이며 미도달은 SK=0 으로 간다,
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,USE_YN,VARCHAR,Y,,,사용여부(원천 그대로 — 폐지분도 과거 실적에 붙으므로 제외하지 않는다),
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,DEV_CAMPAIGN_CNT,"NUMBER(38,0)",Y,,,🔴**팬아웃 경고축**: 이 마케팅캠페인에 매달린 개발캠페인 수. 1 보다 크면 개발캠페인 단위로 광고비를 내릴 때 그 배수만큼 복제된다. 모집단별(마스터 전체 / 광고 도달분 한정) 평균·최대·합과 naive 조인 팬아웃 배수는 문서10 §26. 결합은 마케팅캠페인 grain 에서만 할 것,
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_MARKETING_CAMPAIGN,[O45] 마케팅캠페인 conformed 차원 (마스터 전량 + Unknown 센티넬),DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_SK,"NUMBER(38,0)",N,PK,,버전 대리키,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_DK,VARCHAR,N,DK,,불변 회원키(조인용),"SCD2 다중버전 — FK 대상 불가, 현재행 경유 조인; [실측06-30]VARCHAR(10): 일시 비숫자·정기 leading-zero→NUMBER 금지·충돌0 접두불요"
DIM_MEMBER,회원 상태버전,DIMENSION,SEX,VARCHAR,Y,,,성별 원천코드 raw — BRONZE TM_MM_FDRM_MBER_INFO.SEX(정본 코드그룹 CM013). 1국내남·2국내여·3외국남·4외국여·5외국기타·6단체·7기업·8기타(+0 사전부재). 🔴 정본 비고가 '성별만으로는 사용하지는 않음'을 명시 — 성별 단일축은 GENDER_NAME 을 쓴다. 라벨=SEX_NM(원천)·GENDER_NAME(분석),
DIM_MEMBER,회원 상태버전,DIMENSION,SEX_NM,VARCHAR,Y,,,CM013 원천 라벨 그대로(국내(남자)/국내(여자)/외국인(남자)/외국인(여자)/외국인(기타)/단체/기업/기타). 국내·외국인 축 보존용 — 이 축은 CM013 만 보유한다,
DIM_MEMBER,회원 상태버전,DIMENSION,GENDER_NAME,VARCHAR,Y,,,성별(#130) 분석 라벨 — 코드사전 CM017 라벨 그대로: 남자/여자/기타/단체/기업. 정본 공#130 값 정의 '남/여/기업/단체/기타' 와 일치. ⚠️CM017 은 정본 컬럼정의서가 어떤 컬럼에도 지정하지 않은 그룹(현업 확인 대상). ⚠️종전 하드코딩 '여성/남성/미상'은 정본 5종을 3종으로 축약하고 법인·단체를 '미상'으로 오라벨했다(O26 교정),
DIM_MEMBER,회원 상태버전,DIMENSION,AREA_CD,VARCHAR,Y,,,지역 코드 raw — CM018(18종) + sentinel '0'(라벨 없음). 라벨=REGION. [O27] 개발약정(CRM_MEMBER_DEV) **시점 스냅샷**이며 SCD2 버전별로 다를 수 있다. 판정근거: CM018 사전 18종 × 실적재 distinct 18종 = 18/18 일치 · 정본 공#131 지역정의가 약칭이라 CM011(정식명) 아님,
DIM_MEMBER,회원 상태버전,DIMENSION,REGION,VARCHAR,Y,,,지역 (#131) — CM018 약칭 라벨(서울/경기/인천/강원…). 코드=AREA_CD. [O27] 시점귀속(as-of): 그 버전 EFFECTIVE_FROM 이하 최근 개발약정의 값. 적중 규모는 문서10 §26. ⚠️ONCE(일시회원)는 개발약정에 행이 없어 NULL — '(해당없음)'이 아니다(개념은 있고 원천이 없다). sentinel AREA_CD='0' 도 라벨 NULL,
DIM_MEMBER,회원 상태버전,DIMENSION,AGE,"NUMBER(2,0)",Y,,,연령대 코드 raw — CM014(1~12). 🔴**연속형 나이가 아니다**: 1=10대미만·2=10대·3=20대·4=30대·5=40대·6=50대·7=60대·8=70대·9=70대이상·10=단체·11=기업·12=기타. 라벨=AGE_BAND. 판정근거: CM014 사전 종수 = 실적재 종수 전건 일치 · 독립 교차검증 AGE='10'(단체)는 전건 SEX='6'(단체) · AGE='11'(기업)은 전건 SEX='7'(기업) — 규모는 문서10 §26. ⚠️BRONZE TM_MM_FDRM_MBER_DVLP_AMT.AGE COMMENT '연령'(NUMBER)은 오류다,
DIM_MEMBER,회원 상태버전,DIMENSION,AGE_BAND,VARCHAR,Y,,,연령대 — CM014 라벨. 코드=AGE. [O27] 시점귀속(as-of) · 적중 규모는 문서10 §26. 🔴구간을 우리가 만든 것이 아니라 **원천이 이미 구간화**해 제공한다(DEC-28 §18-B 로 DEC-27 §17-C '구간 정의 없음→보류' 판정을 정정). ⚠️생년월일(MBER_BIRTHDAY) 입고는 이 컬럼의 선행조건이 아니다 — 시점정확 연령에만 필요. ⚠️ONCE 는 NULL,
DIM_MEMBER,회원 상태버전,DIMENSION,MBER_STAT_CD,VARCHAR,Y,,,"회원상태 원천코드 raw(#132, MM010) — 정본 명칭 '회원상태코드'. SCD2 버전행은 TH_MM_FDRM_MBER_STNG_DTLS.CHN_STAT_CD(변경상태코드), 무이력행은 TM_MM_FDRM_MBER_INFO.MBER_STAT_CD 에서 온다(둘 다 MM010). 라벨=MEMBER_STATUS_NAME",
DIM_MEMBER,회원 상태버전,DIMENSION,MBER_DIV_CD,VARCHAR,Y,,,회원구분 원천코드 raw — BRONZE MBER_DIV_CD(MM018 1개인·2기업·3단체). 라벨=MEMBER_TYPE_NAME,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_TYPE_NAME,VARCHAR,Y,,,회원구분명(라벨). 원천 CRM_CODE MM018: 1개인·2기업·3단체. 미매핑→미상,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_STATUS_NAME,VARCHAR,Y,,,회원상태명(라벨). 원천 CRM_CODE MM010: 1활동회원·2~6신규미납1~5·7~11장기미납1~5·12후원중단. 미매핑→미상,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_STATUS_GROUP,VARCHAR,Y,,,회원상태 대분류(파생). 1→정상·2~11→미납·12→중단·NULL→미상,
DIM_MEMBER,회원 상태버전,DIMENSION,PREV_MBER_STAT_CD,VARCHAR,Y,,,상태전이 **이전상태** 코드 raw — MM010. 현재상태=MBER_STAT_CD 와 짝지어 전이를 표현한다(이 SCD2 버전행이 곧 전이 사건이므로 fan-out 0). 원천=CRM_MEMBER_STATUS_HIST.BF_STAT_CD(전건 채움 · 종수 MM010 일치 · 규모는 문서10 §26). ⚠️이력 미보유행(FDRM 무이력·ONCE 전체)은 NULL — '이전상태가 없다'가 아니라 '이력이 없다'. ⚠️동일자 다중전이는 최종 전이로 축약된다(중간 단계 소실),
DIM_MEMBER,회원 상태버전,DIMENSION,PREV_MEMBER_STATUS_NAME,VARCHAR,Y,,,이전상태 라벨 — MM010. 코드=PREV_MBER_STAT_CD. 하드코딩 아니라 CRM_CODE 조인(P31). 원천 라벨 BF_STAT_NM 도 MM010 과 100% 일치하나 사전 조인을 정본으로 쓴다. ⚠️개발구분(MM015)은 다른 축 — FACT_MEMBER_EVENT.DVLP_DIV_NM,
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_JOIN_DATE,DATE,Y,,,최초가입일=회원번호 생성일(#28),
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_CAMPAIGN,VARCHAR,Y,,,최초캠페인(#29),
DIM_MEMBER,회원 상태버전,DIMENSION,JOIN_PATH_CD,VARCHAR,Y,,,가입경로 원천코드 raw — BRONZE JOIN_PATH_CD(MM014). 라벨=ENROLL_PATH_NAME,
DIM_MEMBER,회원 상태버전,DIMENSION,ENROLL_PATH_NAME,VARCHAR,Y,,,가입경로명(라벨). 원천 CRM_CODE MM014: 홈페이지/CRM/모바일웹/희망TV/외주콜센터/모바일앱/REG/EDU. 미매핑→미상,
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_SPONSORSHIP,VARCHAR,Y,,,최초 후원사업 — CRM_MEMBER_DEV 최소 발생일(OCCRRNC_DE)의 SPNSR_BSNS_ID. '최초'는 시점 불변이라 as-of 불요(SCD1). 적중 규모는 문서10 §26. ⚠️ONCE 는 개발약정 부재로 NULL. ⚠️**현재 후원사업**은 제공하지 않는다 — 동시 다중후원이 정상이라(비중·최대는 문서10 §26) 단일값이 성립하지 않아 CURRENT_SPONSORSHIP 을 DROP 했다(O13 계열),
DIM_MEMBER,회원 상태버전,DIMENSION,LAST_STOP_DATE,DATE,Y,,,최종 중단일 — 원천 CRM_MEMBER_DISCONTINUE.SPNSR_DSCNTC_DE. 🔴**그 버전 시점까지의 as-of max** 다(단순 max 아님). 단순 max 는 미래 정보를 과거 버전에 누설해 예측 피처(LTV·유지기간 신4·6~8)를 오염시킨다. 적중 규모는 문서10 §26 — 중단 이력이 없는 회원·중단 이전 버전은 NULL,
