# 생성기: scripts/gen_metric_gold_mapping.py | 측정일: 2026-08-10
# 본 파일은 자동 생성물입니다. 직접 수정 금지 — 생성기 scripts/gen_metric_gold_mapping.py 수정 후 재실행하세요.

## 지표 → GOLD 매핑 (215)
지표#,구분,지표명,유형,소스,단위,GOLD_배속,GOLD_매핑(물리컬럼/SV base),SILVER_원천,BRONZE_원천,정본_계산식,상태,상태_근거
공16,개발,사업/사례 구분,dimension,AGENCY,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,1) 사례 2) 사업 3) 굿즈 4) 통합,PARTIAL,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공17,개발,캠페인 유형,dimension,AGENCY,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,1) 국내 사례 2) 국내 사업 3) 해외 사례 4) 해외 굿즈 5) 전체 굿즈 6) 통합,PARTIAL,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공18,개발,캠페인명,dimension,CRM,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공19,개발,캠페인 오픈일자,dimension,CRM,기간,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공20,개발,소재,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공21,개발,CM위치,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공22,개발,초수,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공23,개발,노출수,measure,AGENCY,횟수,FAD,FAD.IMPRESSIONS,AGENCY_AD_PERFORMANCE.IMPRESSION_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"실측: `FACT_AD_PERFORMANCE.IMPRESSIONS` 비영 196,572/243,545 (80.7%) · 채움률 95% 미만"
공24,개발,클릭수,measure,AGENCY,횟수,FAD,FAD.CLICKS,AGENCY_AD_PERFORMANCE.CLICK_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"실측: `FACT_AD_PERFORMANCE.CLICKS` 비영 173,825/243,545 (71.4%) · 채움률 95% 미만"
공25,개발,인입콜,measure,AGENCY,횟수,FAD,FAD.INBOUND_CALL,AGENCY_AD_PERFORMANCE.INBOUND_CALL_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"실측: `FACT_AD_PERFORMANCE.INBOUND_CALL` 비영 21,455/243,545 (8.8%) · 채움률 95% 미만"
공26,개발,가입캠페인 중단일,dimension,CRM,기간,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공27,개발,캠페인 가입일,dimension,CRM,기간,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공28,개발,최초가입일(회원번호 생성일),dimension,CRM,기간,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공29,개발,최초캠페인,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,회원이 최초가입 시 가입캠페인,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공30,중단,최종중단일,dimension,CRM,기간,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,회원의 최종중단일자,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공31,중단,최종캠페인,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,회원이 최종중단 시 최종캠페인,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공32,개발,신규,dimension,CRM,코드,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공33,개발,증액,dimension,CRM,코드,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공34,개발,재후원,dimension,CRM,코드,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공35,중단,중단(건),measure,CRM,건,FME→FMM,FME→FMM.STOP_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,"회원번호 기준, 후원중단한 회원의 총 개발 건 ( = 전체 후원금액 / 10,000 )",PARTIAL,"실측: `FACT_MEMBER_EVENT.STOP_CNT` 비영 1,038,262/4,633,105 (22.4%) · 채움률 95% 미만"
공36,미납,미납(건),measure,CRM,건,FME→FMM,FME→FMM.UNPAID_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"회원번호 기준, 회원상태가 미납인 회원의 총 개발 건 ( = 전체 후원금액 / 10,000 )",WAIT,실측: `FACT_MEMBER_MONTHLY.UNPAID_CNT` 전건 0 — 설계O·값 미주입
공37,활동,활동(건),measure,CRM,건,FMM,FMM.ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"회원번호 기준, 회원상태가 활동인 회원의 총 개발 건 ( = 전체 후원금액 / 10,000 )",WAIT,실측: `FACT_MEMBER_MONTHLY.ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공38,개발,감액(건),measure,CRM,건,FMM,FMM.DECREASE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"회원번호 기준, 후원사업(세부캠페인)별 총 감액 건 ( = 전체 감액금액 / 10,000 )",WAIT,실측: `FACT_MEMBER_MONTHLY.DECREASE_CNT` 전건 0 — 설계O·값 미주입
공39,개발,개발회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공40,활동,활동회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공41,중단,중단회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공42,미납,미납회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공43,공통,신규회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공44,공통,기존회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공45,활동,활동율(%),derived,CRM,%,SV,SV metric — 분자: MONTH_END_ACTIVE_CNT / 분모: YEAR_START_ACTIVE_CNT + DEV_CNT(YTD),CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,월말활동회원건 / 총 개발회원건 (연도초활동회원건 + 누계개발건),WAIT,실측: `FACT_MEMBER_MONTHLY.MONTH_END_ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공46,활동,신규 활동율(%),derived,CRM,%,SV,SV metric — 분자: DEV_CNT(YTD) / 분모: ACTIVE_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,누계개발 건 / 활동건,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.DEV_CNT` 비영 1,996,977/40,054,883 (5.0%) · 채움률 95% 미만"
공47,활동,기존 활동율(%),derived,CRM,%,SV,SV metric — 분자: ACTIVE_CNT / 분모: DEV_CNT(YTD) + YEAR_START_ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,활동 건 / (누계개발 건 + 연도초활동 건),WAIT,실측: `FACT_MEMBER_MONTHLY.ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공48,활동,연도초 활동회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공49,활동,연도초 활동회원(건),measure,CRM,건,FMM,FMM.YEAR_START_ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,전년도 연도말 활동회원 건수,WAIT,실측: `FACT_MEMBER_MONTHLY.YEAR_START_ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공50,활동,연도말 활동회원(건),measure,CRM,건,FMM,FMM (measure — 컬럼 06_DDL.sql 확인),CRM_PAYMENT_BILLING.PAY_DE,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공51,활동,월말활동회원,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,"활동, 미납1~미납5까지의 회원 포함",OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공52,활동,월말활동회원(건),measure,CRM,건,FMM,FMM.MONTH_END_ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"월 활동회원(회원상태가 활동, 미납1~미납5)의 전체후원사업금액 / 10,000",WAIT,실측: `FACT_MEMBER_MONTHLY.MONTH_END_ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공53,활동,전월말 활동회원(건),measure,CRM,건,FMM,FMM.PREV_MONTH_END_ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,WAIT,실측: `FACT_MEMBER_MONTHLY.PREV_MONTH_END_ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공54,중단,중단율1(%),derived,CRM,%,SV,SV metric — 분자: STOP_CNT / 분모: DEV_CNT + YEAR_START_ACTIVE_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,중단(건) / (개발(건) + 연도초활동회원(건)),PARTIAL,"실측: `FACT_MEMBER_MONTHLY.STOP_CNT` 비영 972,376/40,054,883 (2.4%) · 채움률 95% 미만"
공55,중단,중단율2(%),derived,CRM,%,SV,SV metric — 분자: STOP_CNT / 분모: DEV_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,중단(건) / 개발(건),PARTIAL,"실측: `FACT_MEMBER_MONTHLY.STOP_CNT` 비영 972,376/40,054,883 (2.4%) · 채움률 95% 미만"
공56,중단,신규 중단율,derived,CRM,%,SV,SV metric — 분자: STOP_CNT[신규] / 분모: DEV_CNT[신규] + PREV_MONTH_END_ACTIVE_CNT[신규],CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,신규중단(건) / (당월 신규개발(건) + 전월말 신규활동회원건),PARTIAL,"실측: `FACT_MEMBER_EVENT.STOP_CNT` 비영 1,038,262/4,633,105 (22.4%) · 채움률 95% 미만"
공57,중단,기존 중단율,derived,CRM,%,SV,SV metric — 분자: STOP_CNT[기존] / 분모: DEV_CNT[기존] + PREV_MONTH_END_ACTIVE_CNT[기존],CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,기존중단(건) / (당월 기존개발(건) + 전월말 기존활동회원건),PARTIAL,"실측: `FACT_MEMBER_EVENT.STOP_CNT` 비영 1,038,262/4,633,105 (22.4%) · 채움률 95% 미만"
공58,중단,주간 평균 1일 중단(건),derived,CRM,건,SV,SV metric — 분자: STOP_CNT(주합) / 분모: 주간 일수(DIM_DATE),CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,해당주간 총 중단건수 / 해당 주간 일수,PARTIAL,"실측: `FACT_MEMBER_EVENT.STOP_CNT` 비영 1,038,262/4,633,105 (22.4%) · 채움률 95% 미만"
공59,공통,증감(건),derived,복합,건,SV,SV metric — 분자: 해당 measure / 분모: (시계열),,,(당해년도 전주/전월/전년 수치 − 전주/전월/전년 수치),OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공60,공통,증감율(%),derived,복합,%,SV,SV metric — 분자: 해당 measure / 분모: 전기값,,,(당해년도 전주/전월/전년 수치 − 전주/전월/전년 수치) / (전주/전월/전년 수치) * 100,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공61,활동,1명당 건수,derived,CRM,비율,SV,SV metric — 분자: ACTIVE_CNT / 분모: ACTIVE_MEMBERS,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,활동회원 건 / 활동회원 명,WAIT,실측: `FACT_MEMBER_MONTHLY.ACTIVE_CNT` 전건 0 — 설계O·값 미주입
공62,납입,납입율(%),derived,CRM,%,SV,SV metric — 분자: PAID_FEE / 분모: ACTIVE_CNT ×10000,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"납입회비 원 / (활동회원 건 * 10,000)",PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
공63,납입,누계납입율(%),derived,CRM,%,SV,SV metric — 분자: PAID_FEE(YTD) / 분모: ACTIVE_CUM_CNT ×10000,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"누계납입회비 원 / (누계 활동회원 건 * 10,000)",PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
공64,납입,납부율(%),derived,CRM,%,SV,SV metric — 분자: PAID_FEE / 분모: BILLED_AMT,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,(납입회비 원 / 청구회비 원) * 100,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
