# 생성기: scripts/gen_bronze_exposure_audit.py | 러너: scripts/run_bronze_audit_host.py | 감사일: 2026-09-02
# 자동 생성물 — 생성기 scripts/gen_bronze_exposure_audit.py(+러너 scripts/run_bronze_audit_host.py) 재실행으로 갱신. 직접 편집 금지.

원천시스템,BRONZE_테이블,BRONZE_컬럼,데이터타입,판정,신뢰도,비고
AGENCY,DGT_AD_CMPGN_DTLS,CRM_DVLP_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CRM_DEV_CNT` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,AD_GRP_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_GROUP_NM` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,GRP_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `GROUP_DIV` (FACT_AD_DIGITAL.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,RE_BRDC_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `RT_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DIV_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,REBRDC_AD_CMPGN_DTLS,YEAR,TEXT,대체노출(파생),높음,DATE 파생(YEAR(AD_DATE)) 로 대체 — 텍스트 파싱 금지 원칙
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_MT,TEXT,대체노출(파생),높음,DATE 파생(MONTH) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,CHNNL_CMPNY,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PROGRAM_NM` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BRDC_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DATE,DATE,노출됨(GOLD),높음,개명 적재 → GOLD `BROADCAST_DATE` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DOW,TEXT,대체노출(파생),높음,DATE 파생(DAYNAME) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,INBOUND_CALL_CNT,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,REBRDC_AD_CMPGN_DTLS,DVLP_MBER_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `DVLP_MEMBER_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DVLP_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `DVLP_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_SCHDL_COST,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_COST` (FACT_AD_PERFORMANCE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,WEEK,TEXT,대체노출(파생),높음,DATE 파생(WEEKOFYEAR) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,AD_CNT,FLOAT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,REBRDC_AD_CMPGN_DTLS,TIME_RNG_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CELEB_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,DMST_OVSEA_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,SYNC_ERR_INFO,ERR_SEQ,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,ERR_DATETIME,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,DATA_TYPE,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,ERR_INFO,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,VIDEO_AD_CMPGN_DTLS,CHNNL_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,DOW,TEXT,대체노출(파생),높음,DATE 파생(DAYNAME) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,BRDC_DATE,DATE,노출됨(GOLD),높음,개명 적재 → GOLD `BROADCAST_DATE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,TIME_RNG,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,DAY_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `DAY_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,PRG_STRT_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PRG_START_TIME` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,SCHDL_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PROGRAM_NM` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,CM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,VIDEO_AD_CMPGN_DTLS,CM_AREA,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CM_POSITION` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_STRT_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_START_TIME` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_END_TIME,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,SPOT_TY,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `SPOT_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_VIEW_RT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_VIEW_RT_SRC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_CNT,NUMBER,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_SEC,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `DURATION_SEC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,ACTL_PUR_AD_COST_KRW,NUMBER,노출됨(GOLD),높음,개명 적재 → GOLD `AD_COST` (FACT_AD_PERFORMANCE.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,INBOUND_CALL_CNT,NUMBER,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,CPC,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CPC_SRC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,UPPER_CMPGN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,MATR_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,CMPGN_TY_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,DUR_PD_MATR_CHN,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,CHNNL_CMPNY_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,WEEK,TEXT,대체노출(파생),높음,DATE 파생(WEEKOFYEAR) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,CONV_CALL_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CONV_CALL_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,BRDC_MT,TEXT,대체노출(파생),높음,DATE 파생(MONTH) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,YEAR,TEXT,대체노출(파생),높음,DATE 파생(YEAR(AD_DATE)) 로 대체 — 텍스트 파싱 금지 원칙
AGENCY,VIDEO_AD_CMPGN_DTLS,CTV_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CTV_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,MKT_CMPGN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,SPNSR_BSNS_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,VIDEO_AD_CMPGN_DTLS,DMST_OVSEA_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,BSNS_CASE_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,REQ_SEQ_NO,NUMBER,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,R_NUM,NUMBER,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
CRM,SND_MEMBER_LIST,MBER_NO,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,SPNSR_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SPNSR_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,CMPGN_CD,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,CMPGN_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
CRM,SND_MEMBER_LIST,GENDER,TEXT,미노출(검토대상),낮음(일반명),일반명 — 개별 실측 필요
CRM,SND_MEMBER_LIST,AGE,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
CRM,SND_MEMBER_LIST,SETLE_CD,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
CRM,SND_MEMBER_LIST,SETLE_NM,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,DSCNTC_PATH,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,DSCNTC_RSN_CD,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,DSCNTC_RSN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,CHILD_NO,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,LST_BRND_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,LST_BRND_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,FRST_REGIST_DT,TIMESTAMP_NTZ,제외(PII·본문·메타),—,패턴 매칭 제외(감사 범위 외)
CRM,SND_MEMBER_LIST,MNG_NO,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,LETTER_DIV_CD,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,CHILD_DTL_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,CHILD_DTL_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,RELATNSP_DSCNTC_YN,TEXT,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,FRST_SPNSR,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,FRST_BRND_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,FRST_BRND_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,RELATNSP_KEY,NUMBER,SILVER까지만,높음,GOLD 미승격
CRM,SND_MEMBER_LIST,LST_REGIST_DT,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,PRIV_SUSP_YN,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SND_YN,TEXT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
CRM,SND_MEMBER_LIST,SND_MSG,TEXT,제외(PII·본문·메타),—,패턴 매칭 제외(감사 범위 외)
CRM,SND_MEMBER_LIST,REG_DATE,TIMESTAMP_NTZ,제외(PII·본문·메타),—,패턴 매칭 제외(감사 범위 외)
CRM,SND_MEMBER_LIST,SND_DT,TIMESTAMP_NTZ,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
CRM,SND_MEMBER_LIST,SND_HOUR,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SND_MIN,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,EMAIL_RECPTN_CD,TEXT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
CRM,SND_MEMBER_LIST,EMAIL_RECPTN_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NATION_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NATION_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,BPLC_CD,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,BPLC_KOR_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,DISCHARGE_REPORT_KOR,TEXT,제외(PII·본문·메타),—,패턴 매칭 제외(감사 범위 외)
CRM,SND_MEMBER_LIST,PAST_NATION_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,PAST_BPLC_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,PAST_CHILD_NO,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,FAMILY_DTL,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,FINAL_CHILD_SPNSR_START_DT,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NEW_CHILD_NO,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NEW_CHILD_PROJECT_COUNTRY,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NEW_CHILD_WORKPLACE_NM,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NEW_CHILD_PIC,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,NEW_CHILD_GENDER,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SPNSR_AMOUNT,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SPNSR_STRT_DT,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SPNSR_DSCNTC_DT,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,RELATNSP_DT,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,SPNSR_TYPE,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
CRM,SND_MEMBER_LIST,CPR_DIV_CD,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
